Rule_ID,Name,Description,Applies_To,Condition,Action,Exception,Owner,Priority,Status,Version
GES-P03-BR-000001,Tenant boundary,A record may reference only records belonging to the same tenant unless an approved shared-master pattern applies.,All entities,Cross-tenant reference detected,Reject write and audit,Approved global reference sets,Enterprise Data Architecture,Critical,Review,1.0.0-review
GES-P03-BR-000002,Immutable primary key,Primary identifiers never change after record creation.,All entities,Identifier change attempted,Reject,External alias may change,Enterprise Data Architecture,Critical,Review,1.0.0-review
GES-P03-BR-000003,Version check,Updates require the current record version.,Mutable entities,Submitted version is stale,Reject with conflict,Administrative migration under maintenance control,Enterprise Data Architecture,Critical,Review,1.0.0-review
GES-P03-BR-000004,Released version immutability,"Released estimates, contracts, document versions, events, and audit events cannot be edited.",Versioned records,Record is released or immutable,Create new version or amendment,None,Records Governance,Critical,Review,1.0.0-review
GES-P03-BR-000005,Effective date integrity,Effective start must precede effective end and overlapping active records are prohibited where uniqueness applies.,"Rates, assignments, relationships",Invalid or conflicting range,Reject,Explicit overlap-enabled rule,Data Governance,Critical,Review,1.0.0-review
GES-P03-BR-000006,Money context,A monetary amount must include currency.,Financial fields,Amount present without currency,Reject,None,Finance Data,Critical,Review,1.0.0-review
GES-P03-BR-000007,Quantity context,A quantity must include compatible unit and dimension.,Quantity fields,Value present without valid unit,Reject,Dimensionless ratios,Enterprise Data Architecture,Critical,Review,1.0.0-review
GES-P03-BR-000008,Source preservation,"Imported values preserve source system, external identifier, import batch, and original value where transformed.",Imported data,Committed import,Record lineage,Manual native entry,Integration Data,Critical,Review,1.0.0-review
GES-P03-BR-000009,AI writeback approval,AI recommendations do not change authoritative records until the required approval is completed.,AI writeback,Material change proposed,Create pending writeback,Pre-approved low-risk automation,AI Governance,Critical,Review,1.0.0-review
GES-P03-BR-000010,Document checksum,Accepted document content must have a validated checksum.,DocumentVersion,Acceptance attempted without checksum,Reject,None,Records Governance,Critical,Review,1.0.0-review
GES-P03-BR-000011,Party master merge,"A party merge preserves all source identifiers, relationships, addresses, contacts, and reversal evidence.",Party,Duplicate approved for merge,Create surviving master and merge history,None,Master Data Governance,High,Review,1.0.0-review
GES-P03-BR-000012,No silent data correction,Failed quality or validation rules create explicit exceptions or rejected rows.,All imports and governed writes,Rule failure,Reject or create exception,Approved auto-normalization with lineage,Data Quality,Critical,Review,1.0.0-review
GES-P03-BR-000013,Lifecycle integrity,Inactive or archived master data cannot be assigned to new work unless policy permits.,Master data,New reference to inactive record,Reject,Historical references remain valid,Data Governance,High,Review,1.0.0-review
GES-P03-BR-000014,Audit completeness,"Material create, update, archive, merge, approve, import, and AI writeback actions create audit events.",Governed actions,Action completed,Write immutable audit event,None,Audit Governance,Critical,Review,1.0.0-review
GES-P03-BR-000015,Retention inheritance,"A record inherits retention from classification, entity type, and governing jurisdiction.",Governed records,Record created or reclassified,Resolve retention policy,Legal hold overrides expiration,Records Governance,Critical,Review,1.0.0-review
